contacto,periodo,categoria,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_cgpc,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto,fecha_cierre_contacto
1,201901,ALUMBRADO - REPARACION DE LUMINARIA,SOLICITUD,02/01/2019,11:55:15 a.m.,COMUNA 11,VILLA DEVOTO,BAHIA BLANCA,4865,147,femenino,Cerrado,04/01/2019
2,201901,FISCALIZACION ACTIVIDADES COMERCIALES - HABILITACIONES Y PERMISOS,DENUNCIA,03/01/2019,11:50:45 p.m.,COMUNA 10,VELEZ SARSFIELD,DELAMBRE,4695,App,masculino,Cerrado,07/02/2019
3,201901,CALLES Y VEREDAS - REPARACION DE VEREDA,SOLICITUD,04/01/2019,10:27:17 a.m.,COMUNA 12,COGHLAN,ZAPIOLA,3360,Comunas,femenino,Cerrado,05/04/2019
4,201901,SUGERENCIAS Y LIBRO DE QUEJAS - FELICITACIONES/ AGRADECIMIENTO POR TRAMITE,QUEJA,11/01/2019,07:01:15 p.m.,COMUNA 4,PARQUE PATRICIOS,USPALLATA,3160,147,femenino,Abierto,
5,201901,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,13/01/2019,01:50:39 p.m.,COMUNA 11,VILLA GRAL. MITRE,SANCHEZ,2137,147,femenino,Cerrado,20/01/2019
6,201901,TRANSITO - DENUNCIA VIAL,DENUNCIA,13/01/2019,08:05:05 p.m.,COMUNA 12,SAAVEDRA,MANZANARES,3883,App,femenino,Cerrado,14/01/2019
7,201901,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,14/01/2019,08:27:37 a.m.,COMUNA 1,MONSERRAT,SANTIAGO DEL ESTERO,536,147,femenino,Cerrado,16/01/2019
8,201901,CALLES Y VEREDAS - REPARACION DE VEREDA,SOLICITUD,14/01/2019,09:17:26 a.m.,COMUNA 1,MONSERRAT,MORENO,1149,Web,otro,Abierto,
9,201901,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,15/01/2019,11:51:38 a.m.,COMUNA 13,BELGRANO,MIGUELETES,1875,Web,femenino,Cerrado,18/01/2019
10,201901,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,16/01/2019,09:31:16 a.m.,COMUNA 7,PARQUE CHACABUCO,MALVINAS ARGENTINAS,601,147,femenino,Cerrado,22/01/2019
11,201901,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,18/01/2019,01:39:56 p.m.,COMUNA 13,BELGRANO,MONROE AV.,3454,147,femenino,Cerrado,21/01/2019
12,201901,CALLES Y VEREDAS - OTROS,SOLICITUD,18/01/2019,07:50:02 p.m.,COMUNA 14,PALERMO,MIGUELETES,1190,147,femenino,Cerrado,25/01/2019
13,201901,ARBOLADO Y ESPACIOS VERDES - PODA DE ARBOL Y DESPEJE DE LUMINARIA,SOLICITUD,20/01/2019,10:52:03 a.m.,COMUNA 15,VILLA ORTUZAR,DONADO,,Web,femenino,Cerrado,23/01/2019
14,201901,SEGURIDAD - PRESENCIA POLICIAL,REPORTE,21/01/2019,07:27:16 p.m.,COMUNA 1,SAN NICOLAS,TUCUMAN,1100,Web,femenino,Abierto,
15,201901,SEGURIDAD - PRESENCIA POLICIAL,REPORTE,23/01/2019,11:17:40 a.m.,COMUNA 7,FLORES,TERRERO,300,App,otro,Abierto,
16,201901,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,24/01/2019,09:28:59 a.m.,COMUNA 14,PALERMO,CASTEX,3345,147,femenino,Cerrado,27/01/2019
17,201901,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,24/01/2019,01:11:09 p.m.,COMUNA 11,VILLA DEVOTO,OBISPO SAN ALBERTO,3469,147,femenino,Cerrado,06/02/2019
18,201901,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,24/01/2019,03:05:58 p.m.,COMUNA 14,PALERMO,ORTIZ DE OCAMPO,2622,147,masculino,Cerrado,28/01/2019
19,201901,TRANSITO - DENUNCIA VIAL,DENUNCIA,25/01/2019,05:08:23 p.m.,COMUNA 12,VILLA URQUIZA,JURAMENTO,,App,masculino,Cerrado,28/01/2019
20,201901,PLUVIALES - ALCANTARILLAS / SUMIDEROS,SOLICITUD,26/01/2019,04:31:54 p.m.,COMUNA 8,VILLA RIACHUELO,PIEDRA BUENA AV.,5498,Web,masculino,Cerrado,28/01/2019
21,201901,FISCALIZACION ACTIVIDADES COMERCIALES - HIGIENE Y SEGURIDAD ALIMENTARIA,DENUNCIA,28/01/2019,11:47:45 a.m.,COMUNA 12,VILLA URQUIZA,JURAMENTO,4940,147,femenino,Cerrado,28/02/2019
22,201901,ARBOLADO Y ESPACIOS VERDES - PODA DE ARBOL Y DESPEJE DE LUMINARIA,SOLICITUD,28/01/2019,12:42:11 p.m.,COMUNA 13,NUÑEZ,GUAYRA,1956,147,masculino,Cerrado,03/02/2019
23,201901,CALLES Y VEREDAS - REPARACION DE VEREDA,SOLICITUD,28/01/2019,12:55:48 p.m.,COMUNA 11,VILLA DEL PARQUE,ARREGUI,3383,147,femenino,Abierto,
24,201901,SEGURIDAD - PRESENCIA POLICIAL,REPORTE,29/01/2019,12:27:08 p.m.,COMUNA 1,MONSERRAT,BOLIVAR,500,Web,femenino,Abierto,
25,201901,TRANSITO - CRUCE PELIGROSO O CALLE CON INCONVENIENTES VIALES,SOLICITUD,29/01/2019,02:52:48 p.m.,COMUNA 10,MONTE CASTRO,BAIGORRIA,,147,femenino,Cerrado,03/02/2019
26,201902,TRANSITO - DENUNCIA VIAL,DENUNCIA,02/02/2019,03:33:53 p.m.,COMUNA 12,VILLA URQUIZA,DE LOS CONSTITUYENTES AV.,6183,App,femenino,Cerrado,04/02/2019
27,201902,TRANSITO - DENUNCIA VIAL,DENUNCIA,07/02/2019,09:22:11 a.m.,COMUNA 12,VILLA URQUIZA,AIZPURUA,3170,Web,masculino,Cerrado,11/02/2019
28,201902,ARBOLADO Y ESPACIOS VERDES - PROBLEMA CON INTERVENCIONES DE ARBOLADO,SOLICITUD,08/02/2019,11:27:53 a.m.,COMUNA 7,PARQUE CHACABUCO,CAPERUCITA,1160,147,femenino,Cerrado,11/03/2019
29,201902,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,08/02/2019,08:00:39 p.m.,COMUNA 10,VELEZ SARSFIELD,BELEN,770,147,masculino,Cerrado,20/02/2019
30,201902,TRANSITO - DENUNCIA VIAL,DENUNCIA,10/02/2019,11:10:52 a.m.,COMUNA 8,VILLA SOLDATI,CASTAÑARES AV.,4300,App,masculino,Cerrado,12/02/2019
